"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"26","25","10","2018-12-07","29-332","LAL","@","SAS","L (-13)","0","7:48","2","5",".400","0","1",".000","0","0","","0","1","1","0","0","0","0","3","4","0.4","-6",NA
"27","26","","2018-12-08","29-333","LAL","@","MEM","W (+23)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"28","27","","2018-12-10","29-335","LAL","","MIA","W (+3)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"29","28","","2018-12-13","29-338","LAL","@","HOU","L (-15)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"30","29","","2018-12-15","29-340","LAL","@","CHO","W (+28)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"31","30","","2018-12-16","29-341","LAL","@","WAS","L (-18)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"32","31","","2018-12-18","29-343","LAL","@","BRK","L (-5)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"33","32","","2018-12-21","29-346","LAL","","NOP","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"34","33","","2018-12-23","29-348","LAL","","MEM","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"35","34","","2018-12-25","29-350","LAL","@","GSW","W (+26)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"36","35","","2018-12-27","29-352","LAL","@","SAC","L (-1)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"37","36","","2018-12-28","29-353","LAL","","LAC","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"38","37","","2018-12-30","29-355","LAL","","SAC","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"39","38","","2019-01-02","29-358","LAL","","OKC","L (-7)","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team","Not With Team"
"40","39","11","2019-01-04","29-360","LAL","","NYK","L (-7)","0","11:37","2","3",".667","0","0","","2","4",".500","0","4","4","1","0","0","0","1","6","5.4","+2",NA
"41","40","12","2019-01-06","29-362","LAL","@","MIN","L (-22)","0","20:46","5","8",".625","1","3",".333","0","0","","0","5","5","1","1","1","5","3","11","5.1","-9",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","13","2019-01-07","29-363","LAL","@","DAL","W (+10)","0","9:23","5","6",".833","0","0","","3","5",".600","0","0","0","1","0","1","0","1","13","11.0","+5",NA
"44","42","14","2019-01-09","30-000","LAL","","DET","W (+13)","0","18:46","9","13",".692","1","2",".500","0","0","","0","2","2","4","0","2","2","2","19","15.5","-1",NA
"45","43","15","2019-01-11","30-002","LAL","@","UTA","L (-18)","0","17:43","6","15",".400","0","3",".000","5","6",".833","1","2","3","1","2","1","1","3","17","11.0","-5",NA
"46","44","16","2019-01-13","30-004","LAL","","CLE","L (-6)","0","7:05","3","7",".429","0","0","","2","3",".667","1","0","1","0","1","0","0","2","8","4.8","+2",NA
"47","45","17","2019-01-15","30-006","LAL","","CHI","W (+7)","0","10:48","1","4",".250","0","0","","2","4",".500","1","3","4","0","0","0","2","1","4","0.0","-8",NA
"48","46","18","2019-01-17","30-008","LAL","@","OKC","W (+10)","0","8:37","2","6",".333","0","1",".000","1","1","1.000","0","2","2","2","1","0","2","1","5","2.2","+5",NA
"49","47","19","2019-01-19","30-010","LAL","@","HOU","L (-4)","0","9:18","3","7",".429","0","1",".000","2","2","1.000","1","0","1","0","0","1","1","1","8","4.3","+4",NA
"50","48","20","2019-01-21","30-012","LAL","","GSW","L (-19)","0","17:34","7","8",".875","0","0","","1","2",".500","0","5","5","2","0","1","1","1","15","14.0","-2",NA
"51","49","21","2019-01-24","30-015","LAL","","MIN","L (-15)","0","12:19","4","7",".571","0","1",".000","1","2",".500","0","1","1","1","0","0","1","3","9","4.1","-9",NA
"52","50","22","2019-01-27","30-018","LAL","","PHO","W (+14)","1","26:08","4","12",".333","0","0","","0","0","","3","1","4","6","1","3","3","5","8","5.9","+12",NA
"53","51","23","2019-01-29","30-020","LAL","","PHI","L (-16)","1","10:22","2","6",".333","0","0","","0","0","","2","3","5","0","1","0","1","1","4","2.5","-13",NA
"54","52","24","2019-01-31","30-022","LAL","@","LAC","W (+3)","0","6:17","1","2",".500","0","0","","2","2","1.000","0","3","3","0","0","0","0","0","4","3.9","+3",NA
"55","53","25","2019-02-02","30-024","LAL","@","GSW","L (-14)","0","7:53","2","4",".500","0","0","","2","2","1.000","0","1","1","0","0","0","0","1","6","3.9","0",NA
"56","54","26","2019-02-05","30-027","LAL","@","IND","L (-42)","0","12:13","0","8",".000","0","2",".000","0","0","","1","4","5","3","0","0","1","1","0","-3.0","-12",NA
